SPECIES,NOTES,suggested_replacement
Acaena,"(Didn't specify, presumably acaena novae-zelandiae based on other records this survey at this site)",Acaena novae-zelandiae
Lomandra,"(Didn't specify, presumably lomandra longifolia based on other records this survey at this site)",Lomandra longifolia
Typha,"(Didn't specify, presumably Typha domingensis based on other records this survey at this site)",Typha domingensis
Anthoxanthum,"(Didn't specify, presumably Anthoxanthum odoratum based on other records this survey at this site)",Anthoxanthum odoratum
Crassula,"(Didn't specify, presumably crassula helmsii based on other records this survey at this site)",Crassula helmsii
Poa,"(Didn't specify, presumably Poa labillardierei var. labillardierei based on other records this survey at this site)",Poa labillardierei var. labillardierei
Hypochaeris,"(Didn't specify, presumably hypochaeris radicata based on other records this survey at this site)",Hypochaeris radicata
Cycnogeton,"(Didn't specify, presumably Cycnogeton procerum based on other records this survey at this site)",Cycnogeton procerum
Cyperus,"(Didn't specify, presumably Cyperus lucidus based on other records this survey at this site)",Cyperus lucidus
Hypochaeris,"(Didn't specify, presumably Hypochaeris radicata based on other records this survey at this site)",Hypochaeris radicata
Senecio,"(Didn't specify, presumably Senecio runcinifolius based on other records this survey at this site)",Senecio runcinifolius
Oxalis,"(Didn't specify, presumably Oxalis perennans based on other records this survey at this site)",Oxalis perennans
Anthoxanthum,"(Didn't specify, presumably Anthoxanthum odoratum based on other records this survey at BOSTOCK?)",Anthoxanthum odoratum
