species,submitted_name,data_source_title,score,matched,suggested_replacement,genus,family,origin,lifeform,classification,instreamveg,wpfg,wpfgsource,group,rec_grp
Geranium sp,Geranium sp,World Flora Online Plant List 2023-12,0.75,FALSE,Geranium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus ""lanterns""","Cyperus ""lanterns""",World Flora Online Plant List 2023-12,0.75,FALSE,Cyperus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rytidosperma sp,Rytidosperma sp,World Flora Online Plant List 2023-12,0.75,FALSE,Rytidosperma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyceria sp,Glyceria sp,World Flora Online Plant List 2023-12,0.75,FALSE,Glyceria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Einadia nutans subsp. Nutans,Einadia nutans subsp. nutans,World Flora Online Plant List 2023-12,0.999,FALSE,Einadia nutans subsp. nutans,Einadia,Chenopodiaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Cyperus spp,Cyperus spp,World Flora Online Plant List 2023-12,0.75,FALSE,Cyperus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juncus acutus subsp. Acutus,Juncus acutus subsp. acutus,World Flora Online Plant List 2023-12,0.999,FALSE,Juncus acutus subsp. acutus,Juncus,Juncaceae,exotic,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Potamogeton crispis,Potamogeton crispis,World Flora Online Plant List 2023-12,0.75,FALSE,Potamogeton crispus,Potamogeton,Potamogetonaceae,native,forb,Aquatic,YES,ARp,KM,Aquatic,Aquatic
Oxalis perennns,Oxalis perennns,World Flora Online Plant List 2023-12,0.75,FALSE,Oxalis perennans,Oxalis,Oxalidaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Pteridium esulentum,Pteridium esulentum,World Flora Online Plant List 2023-12,0.75,FALSE,Pteridium esculentum,Pteridium,Dennstaedtiaceae,native,fern,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Juncus amabils,Juncus amabils,World Flora Online Plant List 2023-12,0.75,FALSE,Juncus amabilis,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Urtica incisa(?),Urtica incisa(?),World Flora Online Plant List 2023-12,0.997,FALSE,Urtica incisa,Urtica,Urticaceae,native,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Juncus articulatus var. articulatus,Juncus articulatus var. articulatus,World Flora Online Plant List 2023-12,0.999,FALSE,Juncus articulatus subsp. articulatus,Juncus,Juncaceae,exotic,sedge/rush,Fringing_low,NO,ATe,assumed,Littoral,Riparian
Eucalyptus camaldulensis var. camaldulensis,Eucalyptus camaldulensis var. camaldulensis,World Flora Online Plant List 2023-12,0.999,FALSE,Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus,Myrtaceae,native,tree,Tree,NO,ATw,Casanova 2011,Tree,Riparian
Epilobium billardiereanum subsp. billardiereanum,Epilobium billardiereanum subsp. billardiereanum,World Flora Online Plant List 2023-12,0.999,FALSE,Epilobium billardiereanum f. billardiereanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
